time,Demand,Day-ahead demand forecast,Net generation,Total interchange,Source: U.S. Energy Information Administration,,,,,
00:00 PST 12/01/2017,28622,27580,18428,-10193,megawatthours,,,,,
01:00 PST 12/1/2017,27272,26217,17532,-9741,0,,,,,
02:00 PST 12/1/2017,26187,25339,16898,-9290,0,,,,,
03:00 PST 12/1/2017,25578,24829,16619,-8965,0,,,,,
04:00 PST 12/1/2017,25481,24786,16727,-8754,0,,,,,
05:00 PST 12/1/2017,26232,25594,17455,-8780,0,,,,,
06:00 PST 12/1/2017,27941,27468,18822,-9120,0,,,,,
07:00 PST 12/1/2017,30753,30297,20636,-10118,0,,,,,
08:00 PST 12/1/2017,32076,31518,22602,-9477,0,,,,,
09:00 PST 12/1/2017,32127,31380,23874,-8254,0,,,,,
10:00 PST 12/1/2017,31665,31181,24396,-7272,0,,,,,
11:00 PST 12/1/2017,31471,31002,24514,-6958,0,,,,,
12:00 PST 12/1/2017,31396,30875,24592,-6806,0,,,,,
13:00 PST 12/1/2017,31310,30792,24289,-7023,0,,,,,
14:00 PST 12/1/2017,31623,31009,24355,-7269,0,,,,,
15:00 PST 12/1/2017,31960,31252,24144,-7817,0,,,,,
16:00 PST 12/1/2017,32296,31686,23624,-8674,0,,,,,
17:00 PST 12/1/2017,33485,32936,23833,-9653,0,,,,,
18:00 PST 12/1/2017,35893,35481,25876,-10019,0,,,,,
19:00 PST 12/1/2017,35599,35490,25146,-10454,0,,,,,
20:00 PST 12/1/2017,34818,34854,24309,-10509,0,,,,,
21:00 PST 12/1/2017,33955,33658,23057,-10897,0,,,,,
22:00 PST 12/1/2017,32583,31998,21952,-10631,0,,,,,
23:00 PST 12/1/2017,30747,29958,20323,-10426,0,,,,,
00:00 PST 12/2/2017,28895,27820,19112,-9784,0,,,,,
01:00 PST 12/2/2017,26896,26529,17567,-9328,0,,,,,
02:00 PST 12/2/2017,25769,25352,16688,-9082,0,,,,,
03:00 PST 12/2/2017,25316,24658,16357,-8959,0,,,,,
04:00 PST 12/2/2017,25071,24359,16175,-8897,0,,,,,
05:00 PST 12/2/2017,25241,24628,16071,-9170,0,,,,,
06:00 PST 12/2/2017,25808,25427,16275,-9534,0,,,,,
07:00 PST 12/2/2017,27046,26693,16538,-10509,0,,,,,
08:00 PST 12/2/2017,28218,27277,17869,-10349,0,,,,,
09:00 PST 12/2/2017,28677,27772,20179,-8498,0,,,,,
10:00 PST 12/2/2017,28749,27953,21420,-7329,0,,,,,
11:00 PST 12/2/2017,28742,27910,21436,-7307,0,,,,,
12:00 PST 12/2/2017,28592,27878,21323,-7270,0,,,,,
13:00 PST 12/2/2017,28654,27853,21453,-7202,0,,,,,
14:00 PST 12/2/2017,28905,28082,21376,-7531,0,,,,,
15:00 PST 12/2/2017,29064,28384,21154,-7910,0,,,,,
16:00 PST 12/2/2017,29661,28945,20427,-9234,0,,,,,
17:00 PST 12/2/2017,31062,30481,21174,-9889,0,,,,,
18:00 PST 12/2/2017,33562,33397,23858,-9707,0,,,,,
19:00 PST 12/2/2017,33422,33724,22870,-10554,0,,,,,
20:00 PST 12/2/2017,32906,33155,22118,-10789,0,,,,,
21:00 PST 12/2/2017,32158,32245,21657,-10501,0,,,,,
22:00 PST 12/2/2017,30968,30928,20487,-10482,0,,,,,
23:00 PST 12/2/2017,29299,29177,19039,-10260,0,,,,,
00:00 PST 12/3/2017,27311,27292,17554,-9757,0,,,,,
01:00 PST 12/3/2017,25970,25822,16299,-9674,0,,,,,
02:00 PST 12/3/2017,25061,24693,16040,-9020,0,,,,,
03:00 PST 12/3/2017,24435,23990,15461,-8976,0,,,,,
04:00 PST 12/3/2017,24141,23652,15595,-8546,0,,,,,
05:00 PST 12/3/2017,24690,23757,15797,-8894,0,,,,,
06:00 PST 12/3/2017,24640,24304,15814,-8828,0,,,,,
07:00 PST 12/3/2017,25377,25184,16747,-8631,0,,,,,
08:00 PST 12/3/2017,26451,25727,18000,-8451,0,,,,,
09:00 PST 12/3/2017,26844,26270,20748,-6097,0,,,,,
10:00 PST 12/3/2017,26790,26569,21574,-5219,0,,,,,
11:00 PST 12/3/2017,26629,26559,21813,-4818,0,,,,,
12:00 PST 12/3/2017,26354,26403,22058,-4297,0,,,,,
13:00 PST 12/3/2017,26458,26429,22354,-4105,0,,,,,
14:00 PST 12/3/2017,26807,26662,22473,-4335,0,,,,,
15:00 PST 12/3/2017,27332,27059,22110,-5224,0,,,,,
16:00 PST 12/3/2017,28141,27794,21058,-7084,0,,,,,
17:00 PST 12/3/2017,30002,29635,20966,-9039,0,,,,,
18:00 PST 12/3/2017,33650,32786,24015,-9635,0,,,,,
19:00 PST 12/3/2017,34043,33596,24411,-9633,0,,,,,
20:00 PST 12/3/2017,33702,33367,24211,-9493,0,,,,,
21:00 PST 12/3/2017,32827,32507,23517,-9310,0,,,,,
22:00 PST 12/3/2017,31229,30932,21696,-9534,0,,,,,
23:00 PST 12/3/2017,28955,28721,20057,-8899,0,,,,,
00:00 PST 12/4/2017,26890,26686,18129,-8760,0,,,,,
01:00 PST 12/4/2017,26060,25335,17191,-8870,0,,,,,
02:00 PST 12/4/2017,25710,24501,17262,-8449,0,,,,,
03:00 PST 12/4/2017,25329,24133,16657,-8671,0,,,,,
04:00 PST 12/4/2017,25316,24156,16321,-8997,0,,,,,
05:00 PST 12/4/2017,25586,25080,16517,-9070,0,,,,,
06:00 PST 12/4/2017,27690,27233,18274,-9416,0,,,,,
07:00 PST 12/4/2017,30944,30339,20813,-10132,0,,,,,
08:00 PST 12/4/2017,32487,31784,22367,-10123,0,,,,,
09:00 PST 12/4/2017,32240,31735,23561,-8678,0,,,,,
10:00 PST 12/4/2017,31824,31130,25182,-6644,0,,,,,
11:00 PST 12/4/2017,31320,30668,25377,-5944,0,,,,,
12:00 PST 12/4/2017,30967,30310,25098,-5869,0,,,,,
13:00 PST 12/4/2017,30805,30222,25050,-5754,0,,,,,
14:00 PST 12/4/2017,30967,30391,25120,-5848,0,,,,,
15:00 PST 12/4/2017,31307,30636,25186,-6123,0,,,,,
16:00 PST 12/4/2017,31972,31297,24038,-7936,0,,,,,
17:00 PST 12/4/2017,34023,33013,24672,-9350,0,,,,,
18:00 PST 12/4/2017,37354,36550,27317,-10038,0,,,,,
19:00 PST 12/4/2017,37503,37185,27476,-10029,0,,,,,
20:00 PST 12/4/2017,36961,36712,26973,-9989,0,,,,,
21:00 PST 12/4/2017,35918,35618,25911,-10007,0,,,,,
22:00 PST 12/4/2017,33930,33539,24237,-9693,0,,,,,
23:00 PST 12/4/2017,30883,30879,21769,-9114,0,,,,,
00:00 PST 12/5/2017,28463,28370,19587,-8875,0,,,,,
01:00 PST 12/5/2017,27086,26656,18824,-8262,0,,,,,
02:00 PST 12/5/2017,26161,25637,18608,-7553,0,,,,,
03:00 PST 12/5/2017,25823,25100,18391,-7433,0,,,,,
04:00 PST 12/5/2017,25754,25140,18043,-7712,0,,,,,
05:00 PST 12/5/2017,26451,25986,18316,-8134,0,,,,,
06:00 PST 12/5/2017,28461,28139,19971,-8493,0,,,,,
07:00 PST 12/5/2017,31552,31319,21768,-9784,0,,,,,
08:00 PST 12/5/2017,32782,32654,23030,-9752,0,,,,,
09:00 PST 12/5/2017,32088,32244,23601,-8490,0,,,,,
10:00 PST 12/5/2017,31538,31587,23730,-7808,0,,,,,
11:00 PST 12/5/2017,31064,31067,23811,-7253,0,,,,,
12:00 PST 12/5/2017,30466,30641,23666,-6802,0,,,,,
13:00 PST 12/5/2017,30257,30500,24050,-6206,0,,,,,
14:00 PST 12/5/2017,30589,30817,24432,-6158,0,,,,,
15:00 PST 12/5/2017,31068,31284,24491,-6577,0,,,,,
16:00 PST 12/5/2017,31906,32057,23284,-8620,0,,,,,
17:00 PST 12/5/2017,33694,34048,23934,-9761,0,,,,,
18:00 PST 12/5/2017,36983,37162,26947,-10037,0,,,,,
19:00 PST 12/5/2017,37317,37659,27178,-10137,0,,,,,
20:00 PST 12/5/2017,36825,37130,26721,-10105,0,,,,,
21:00 PST 12/5/2017,35941,36047,26264,-9675,0,,,,,
22:00 PST 12/5/2017,34194,34084,24409,-9784,0,,,,,
23:00 PST 12/5/2017,31548,31392,22120,-9426,0,,,,,
00:00 PST 12/6/2017,29091,28870,19837,-9256,0,,,,,
01:00 PST 12/6/2017,27514,27052,18771,-8741,0,,,,,
02:00 PST 12/6/2017,26605,26043,18106,-8500,0,,,,,
03:00 PST 12/6/2017,26105,25545,17707,-8398,0,,,,,
04:00 PST 12/6/2017,26071,25589,17494,-8576,0,,,,,
05:00 PST 12/6/2017,26890,26379,18253,-8637,0,,,,,
06:00 PST 12/6/2017,28957,28496,20176,-8781,0,,,,,
07:00 PST 12/6/2017,32024,31745,23579,-8449,0,,,,,
08:00 PST 12/6/2017,33518,33090,23325,-10192,0,,,,,
09:00 PST 12/6/2017,32875,32538,24499,-8376,0,,,,,
10:00 PST 12/6/2017,32034,31736,24636,-7398,0,,,,,
11:00 PST 12/6/2017,31377,31235,24864,-6513,0,,,,,
12:00 PST 12/6/2017,30905,30862,24571,-6335,0,,,,,
13:00 PST 12/6/2017,30620,30704,24433,-6187,0,,,,,
14:00 PST 12/6/2017,31035,31023,24699,-6337,0,,,,,
15:00 PST 12/6/2017,31515,31558,24605,-6909,0,,,,,
16:00 PST 12/6/2017,32424,32533,23310,-9115,0,,,,,
17:00 PST 12/6/2017,34219,34254,23942,-10277,0,,,,,
